iter	Logloss
0	0.6729532342
1	0.653372934
2	0.6358198717
3	0.6186861938
4	0.6028438983
5	0.5878768776
6	0.5743380475
7	0.5622918182
8	0.5511165118
9	0.5408754633
10	0.5303095979
11	0.520705895
12	0.5116810151
13	0.5031414661
14	0.4953650114
15	0.4887237259
16	0.4816830242
17	0.4754962468
18	0.4694597432
19	0.4643609792
20	0.4596576377
21	0.4546834961
22	0.4501659105
23	0.4461731315
24	0.4421642242
25	0.438469228
26	0.435415315
27	0.4323539266
28	0.4293547983
29	0.4268059027
30	0.424232738
31	0.4217710115
32	0.4192016101
33	0.4170040788
34	0.4146288046
35	0.4124444064
36	0.4105494197
37	0.4086802381
38	0.4071258125
39	0.4054221881
40	0.4040316045
41	0.402533858
42	0.4013857605
43	0.4001203625
44	0.3989488663
45	0.3978301837
46	0.3968779031
47	0.395850972
48	0.3948439835
49	0.3939166632
50	0.393157025
51	0.3923059424
52	0.3915214719
53	0.390771997
54	0.3901893594
55	0.389706819
56	0.3891595098
57	0.3886176791
58	0.3881626335
59	0.3876005785
60	0.3870997851
61	0.3866908457
62	0.3862953976
63	0.3859510477
64	0.3856458151
65	0.3852031856
66	0.384810656
67	0.3844518163
68	0.3841754353
69	0.3838937294
70	0.3836860852
71	0.3833857935
72	0.3830565222
73	0.3827666242
74	0.3824656413
75	0.3822230271
76	0.3819836385
77	0.3818229453
78	0.3815789743
79	0.3813759382
80	0.3811975296
81	0.3810118505
82	0.3808052815
83	0.3806474812
84	0.3804879656
85	0.3803966749
86	0.380260046
87	0.3801347324
88	0.3800361968
89	0.3799177697
90	0.3797874129
91	0.379714324
92	0.3795921081
93	0.3794961325
94	0.3794004385
95	0.3793209239
96	0.3792209547
97	0.3791473794
98	0.3790611575
99	0.3789807725
100	0.378888125
101	0.3788021847
102	0.3787116108
103	0.378660231
104	0.3785837628
105	0.3785247029
106	0.3784529964
107	0.3783986213
108	0.3783287068
109	0.378274767
110	0.3782134286
111	0.3781618952
112	0.3780982016
113	0.3780642044
114	0.3780059636
115	0.3779393772
116	0.3778811877
117	0.3778312671
118	0.3777818329
119	0.3777514197
120	0.3777050575
121	0.3776618698
122	0.3776252869
123	0.3775937217
124	0.377567123
125	0.3775208376
126	0.3774736562
127	0.3774490543
128	0.3774070698
129	0.3773692838
130	0.3773388706
131	0.3773220768
132	0.3773044382
133	0.3772787098
134	0.3772466582
135	0.3772059793
136	0.3771863183
137	0.3771473802
138	0.377110567
139	0.3770921603
140	0.3770589055
141	0.3770263419
142	0.3770085497
143	0.3769927031
144	0.3769729908
145	0.3769362032
146	0.3769065068
147	0.3768751976
148	0.3768331619
149	0.3768108896
150	0.3767901534
151	0.3767544921
152	0.3767393624
153	0.3767141204
154	0.3767032659
155	0.3766775632
156	0.3766562637
157	0.3766408011
158	0.376611924
159	0.3766015302
160	0.3765856324
161	0.376563053
162	0.3765428031
163	0.3765134908
164	0.3765019194
165	0.3764838712
166	0.3764633653
167	0.376435717
168	0.3764217392
169	0.3764100399
170	0.3763925549
171	0.3763781419
172	0.3763637801
173	0.376337847
174	0.3763202596
175	0.3763102754
176	0.3762872351
177	0.3762590492
178	0.3762389274
179	0.3762185239
180	0.3762043669
181	0.3761884179
182	0.3761745682
183	0.3761589776
184	0.3761434382
185	0.3761252107
186	0.3761151498
187	0.3761033993
188	0.3760887047
189	0.3760737541
190	0.3760632836
191	0.3760483842
192	0.3760345344
193	0.3760247807
194	0.3760150526
195	0.37600151
196	0.3759887867
197	0.3759778809
198	0.3759639799
199	0.3759508982
200	0.3759333108
201	0.3759261427
202	0.3759175154
203	0.3759070704
204	0.3758949871
205	0.3758804205
206	0.3758683372
207	0.375858225
208	0.3758436073
209	0.3758267622
210	0.3758056932
211	0.3757919458
212	0.3757742304
213	0.3757660127
214	0.3757496541
215	0.3757356251
216	0.3757247962
217	0.3757098968
218	0.3756958166
219	0.3756870613
220	0.3756735955
221	0.3756545489
222	0.3756406735
