iter	Passed	Remaining
0	70	70881
1	76	38306
2	82	27460
3	89	22219
4	95	18909
5	101	16753
6	107	15210
7	112	13911
8	117	12977
9	125	12426
10	131	11819
11	137	11341
12	142	10856
13	148	10448
14	154	10151
15	160	9846
16	165	9588
17	172	9387
18	178	9191
19	184	9029
20	189	8846
21	195	8677
22	201	8545
23	206	8391
24	212	8270
25	217	8166
26	223	8056
27	229	7957
28	237	7935
29	242	7845
30	249	7792
31	255	7716
32	260	7636
33	266	7572
34	272	7501
35	277	7436
36	283	7385
37	289	7319
38	296	7304
39	302	7263
40	308	7207
41	314	7167
42	319	7115
43	325	7070
44	331	7039
45	337	6990
46	342	6949
47	348	6918
48	354	6885
49	360	6856
50	366	6827
51	374	6823
52	380	6803
53	386	6765
54	391	6728
55	398	6713
56	404	6691
57	411	6689
58	418	6671
59	423	6641
60	430	6620
61	435	6594
62	443	6593
63	449	6570
64	455	6551
65	461	6535
66	467	6509
67	473	6487
68	479	6472
69	485	6449
70	491	6427
71	497	6412
72	503	6394
73	510	6384
74	515	6361
75	521	6339
76	528	6329
77	533	6306
78	539	6284
79	545	6270
80	550	6249
81	556	6231
82	562	6218
83	568	6203
84	575	6190
85	580	6170
86	586	6151
87	592	6138
88	597	6119
89	603	6100
90	609	6086
91	614	6069
92	620	6052
93	626	6038
94	631	6017
95	638	6008
96	644	5996
97	649	5979
98	655	5964
99	661	5952
100	666	5936
101	672	5919
102	678	5909
103	684	5895
104	690	5885
105	695	5868
106	701	5854
107	708	5850
108	714	5840
109	720	5828
110	726	5819
111	731	5803
112	738	5796
113	746	5798
114	751	5786
115	757	5773
116	763	5759
117	768	5747
118	775	5739
119	780	5724
120	786	5711
121	792	5703
122	798	5691
123	804	5681
124	809	5667
125	815	5656
126	823	5658
127	829	5651
128	837	5655
129	844	5648
130	851	5645
131	858	5645
132	865	5639
133	872	5641
134	879	5637
135	887	5638
136	893	5630
137	901	5629
138	908	5625
139	915	5623
140	923	5623
141	930	5619
142	937	5620
143	945	5619
144	952	5619
145	961	5626
146	969	5626
147	976	5623
148	983	5614
149	990	5613
150	997	5608
151	1004	5603
152	1011	5596
153	1018	5595
154	1025	5589
155	1031	5581
156	1038	5578
157	1045	5571
158	1052	5567
159	1059	5562
160	1066	5558
161	1072	5549
162	1079	5544
163	1086	5539
164	1092	5529
165	1100	5526
166	1106	5518
167	1113	5512
168	1120	5509
169	1126	5501
170	1134	5498
171	1140	5492
172	1146	5482
173	1154	5478
174	1161	5474
175	1167	5467
176	1174	5461
177	1182	5459
178	1188	5451
179	1195	5445
180	1202	5443
181	1209	5435
182	1216	5430
183	1223	5423
184	1230	5420
185	1236	5411
186	1243	5406
187	1250	5402
188	1256	5393
189	1264	5389
190	1270	5379
191	1276	5373
192	1284	5370
193	1290	5361
194	1297	5355
195	1304	5350
196	1310	5341
197	1318	5338
198	1324	5332
199	1331	5325
200	1338	5319
201	1345	5316
202	1351	5307
203	1358	5301
204	1366	5298
205	1372	5289
206	1379	5286
207	1386	5280
208	1393	5273
209	1400	5267
210	1406	5260
211	1413	5253
212	1420	5247
213	1427	5242
214	1433	5233
215	1440	5227
216	1447	5223
217	1453	5215
218	1462	5214
219	1468	5208
220	1476	5203
221	1482	5195
222	1489	5190
223	1497	5186
224	1503	5178
225	1510	5174
226	1518	5170
227	1525	5166
228	1532	5160
229	1539	5153
230	1546	5148
231	1552	5140
232	1559	5134
233	1566	5128
234	1574	5124
235	1580	5115
236	1587	5109
237	1594	5105
238	1600	5097
239	1608	5093
240	1614	5086
241	1622	5081
242	1629	5075
243	1636	5069
244	1643	5064
245	1649	5056
246	1657	5053
247	1664	5047
248	1672	5043
249	1678	5035
250	1685	5030
251	1693	5026
252	1699	5017
253	1706	5013
254	1713	5006
255	1720	5000
256	1726	4992
257	1734	4986
258	1740	4980
259	1747	4973
260	1754	4967
261	1760	4958
262	1767	4952
263	1774	4946
264	1780	4938
265	1787	4931
266	1793	4923
267	1800	4917
268	1807	4911
269	1812	4901
270	1820	4896
271	1826	4888
272	1833	4881
273	1840	4875
274	1846	4868
275	1853	4862
276	1860	4856
277	1866	4847
278	1873	4840
279	1879	4832
280	1886	4826
281	1893	4821
282	1901	4816
283	1907	4808
284	1913	4801
285	1920	4794
286	1927	4788
287	1934	4781
288	1940	4773
289	1947	4767
290	1954	4761
291	1960	4753
292	1967	4747
293	1973	4739
294	1980	4732
295	1987	4726
296	1993	4718
297	2001	4714
298	2008	4708
299	2014	4699
300	2021	4694
301	2028	4688
302	2036	4683
303	2042	4675
304	2049	4670
305	2056	4662
306	2062	4655
307	2069	4649
308	2075	4641
309	2082	4636
310	2088	4627
311	2096	4622
312	2102	4615
313	2110	4610
314	2117	4604
315	2124	4597
316	2131	4592
317	2138	4585
318	2145	4580
319	2152	4573
320	2158	4565
321	2165	4558
322	2171	4551
323	2178	4545
324	2185	4538
325	2191	4531
326	2198	4523
327	2205	4517
328	2211	4510
329	2218	4504
330	2225	4498
331	2231	4490
332	2238	4483
333	2245	4476
334	2251	4469
335	2258	4463
336	2264	4455
337	2271	4448
338	2278	4442
339	2284	4434
340	2291	4428
341	2297	4420
342	2304	4414
343	2315	4416
344	2322	4410
345	2329	4403
346	2337	4398
347	2343	4390
348	2349	4383
349	2357	4377
350	2363	4369
351	2370	4363
352	2377	4357
353	2384	4351
354	2392	4347
355	2400	4341
356	2408	4338
357	2415	4332
358	2423	4326
359	2430	4320
360	2438	4315
361	2444	4309
362	2456	4310
363	2463	4305
364	2470	4298
365	2477	4292
366	2485	4286
367	2492	4280
368	2497	4271
369	2504	4264
370	2511	4257
371	2517	4250
372	2525	4244
373	2531	4237
374	2541	4235
375	2547	4227
376	2554	4220
377	2560	4213
378	2567	4206
379	2573	4199
380	2579	4191
381	2587	4186
382	2594	4178
383	2600	4171
384	2607	4165
385	2614	4158
386	2621	4151
387	2627	4145
388	2635	4138
389	2640	4130
390	2647	4123
391	2653	4116
392	2660	4109
393	2667	4103
394	2673	4095
395	2680	4088
396	2687	4081
397	2693	4074
398	2701	4068
399	2706	4060
400	2713	4053
401	2720	4047
402	2726	4039
403	2734	4033
404	2740	4025
405	2746	4018
406	2754	4012
407	2760	4004
408	2767	3998
409	2773	3990
410	2779	3983
411	2786	3977
412	2792	3969
413	2799	3963
414	2805	3955
415	2813	3949
416	2820	3943
417	2826	3935
418	2833	3929
419	2839	3921
420	2847	3916
421	2853	3908
422	2860	3901
423	2866	3894
424	2873	3888
425	2880	3881
426	2887	3874
427	2893	3866
428	2900	3860
